bin_left,bin_right,bin_center,reference_density,implicit_reference_density,proposal_density,reweighted_density
-3.141592653589793,-3.078760800517997,-3.1101767270538954,0.174401637836823,0.18732536801916055,0.17029578910832777,0.17740739267015404
-3.078760800517997,-3.015928947446201,-3.047344873982099,0.1083524685520251,0.12515944724746633,0.11777465788800238,0.0986267108173131
-3.015928947446201,-2.9530970943744057,-2.9845130209103035,0.06789536293227708,0.07964113352318487,0.08514789455416448,0.07416430524407465
-2.9530970943744057,-2.8902652413026098,-2.921681167838508,0.04389484551505364,0.05026113102842048,0.05968310365946067,0.0390154697751294
-2.8902652413026098,-2.827433388230814,-2.8588493147667116,0.02540107811531023,0.02966648139232925,0.05252113122032539,0.06461752843774674
-2.827433388230814,-2.764601535159018,-2.796017461694916,0.016329264502699434,0.0189712692165539,0.03342253804929798,0.018818928923413816
-2.764601535159018,-2.701769682087222,-2.7331856086231197,0.010886176335132957,0.011077184039195899,0.02546479089470322,0.014618878330317024
-2.701769682087222,-2.6389378290154264,-2.670353755551324,0.006366184991305867,0.007703099245647778,0.016711269024649103,0.007249875189606027
-2.6389378290154264,-2.5761059759436304,-2.6075219024795286,0.0033104161954790275,0.004138028520389273,0.031035213902919547,0.0028265789195334253
-2.5761059759436304,-2.5132741228718345,-2.5446900494077322,0.0027374595462615037,0.0031194368846011442,0.015119719593730036,0.006085652992590752
-2.5132741228718345,-2.4504422698000385,-2.4818581963359367,0.001750700872609101,0.0022281692032865316,0.019098593171027415,0.0014601224864498096
-2.4504422698000385,-2.3876104167282426,-2.4190263432641403,0.0013687297731307519,0.0014960564650638142,0.01989436788648689,0.006482967261283672
-2.3876104167282426,-2.324778563656447,-2.356194490192345,0.00047746387434794004,0.0010822536130248946,0.010345071300973256,0.0009128272253793316
-2.324778563656447,-2.2619467105846507,-2.293362637120549,0.0005411257242609911,0.0009867606471697426,0.01273239544735152,0.0004633918524154562
-2.2619467105846507,-2.199114857512855,-2.230530784048753,0.0004456329493914107,0.0009230986699329982,0.011140846016432737,0.002405624646892514
